// sample: {time(ms),pitch(deg),pitch_spd(rad/s),yaw(deg),yaw_spd(rad/s)},
{
{774, 0.0f, 0.0f, -4.352575f, -1.874113f},
{776, 0.0f, 0.0f, -4.558166f, -1.714113f},
{778, 0.0f, 0.0f, -4.745421f, -1.554113f},
{780, 0.0f, 0.0f, -4.914342f, -1.394113f},
{782, 0.0f, 0.0f, -5.064928f, -1.234113f},
{784, 0.0f, 0.0f, -5.197180f, -1.074113f},
{786, 0.0f, 0.0f, -5.311097f, -0.914113f},
{788, 0.0f, 0.0f, -5.406679f, -0.754113f},
{790, 0.0f, 0.0f, -5.483927f, -0.594113f},
{792, 0.0f, 0.0f, -5.542840f, -0.434113f},
{794, 0.0f, 0.0f, -5.583418f, -0.274113f},
{796, 0.0f, 0.0f, -5.605662f, -0.114113f},
{798, 0.0f, 0.0f, -5.609571f, 0.045887f},
{800, 0.0f, 0.0f, -5.595145f, 0.205887f},
{802, 0.0f, 0.0f, -5.562385f, 0.365887f},
{804, 0.0f, 0.0f, -5.511290f, 0.525887f},
{806, 0.0f, 0.0f, -5.441861f, 0.685887f},
{808, 0.0f, 0.0f, -5.354096f, 0.845887f},
{810, 0.0f, 0.0f, -5.247998f, 1.005887f},
{812, 0.0f, 0.0f, -5.123564f, 1.165887f},
{814, 0.0f, 0.0f, -4.986901f, 1.199728f},
{816, 0.0f, 0.0f, -4.848860f, 1.209504f},
{818, 0.0f, 0.0f, -4.709714f, 1.219012f},
{820, 0.0f, 0.0f, -4.569493f, 1.228247f},
{822, 0.0f, 0.0f, -4.428231f, 1.237203f},
{824, 0.0f, 0.0f, -4.285958f, 1.245875f},
{826, 0.0f, 0.0f, -4.142708f, 1.254259f},
{828, 0.0f, 0.0f, -3.998514f, 1.262350f},
{830, 0.0f, 0.0f, -3.853411f, 1.270142f},
{832, 0.0f, 0.0f, -3.707431f, 1.277632f},
{834, 0.0f, 0.0f, -3.560611f, 1.284814f},
{836, 0.0f, 0.0f, -3.412985f, 1.291684f},
{838, 0.0f, 0.0f, -3.264591f, 1.298239f},
{840, 0.0f, 0.0f, -3.115463f, 1.304475f},
{842, 0.0f, 0.0f, -2.965640f, 1.310386f},
{844, 0.0f, 0.0f, -2.815157f, 1.315971f},
{846, 0.0f, 0.0f, -2.664054f, 1.321225f},
{848, 0.0f, 0.0f, -2.512368f, 1.326146f},
{850, 0.0f, 0.0f, -2.360137f, 1.330729f},
